feature_id	meta_logFC	meta_se	meta_z	meta_p	tau2	I2	k	fdr	n	pos	neg	sign_concordance
1553127_a_at							1		1	0	1	1
1553129_at							1		1	1	0	1
1553130_at							1		1	0	1	1
1553131_a_at							1		1	0	1	1
1553132_a_at							1		1	0	1	1
1553133_at							1		1	1	0	1
1553134_s_at							1		1	0	1	1
1553136_at							1		1	0	1	1
1553137_s_at							1		1	1	0	1
1553138_a_at							1		1	1	0	1
1553139_s_at							1		1	0	1	1
1553140_at							1		1	0	1	1
1553141_at							1		1	1	0	1
1553142_at							1		1	1	0	1
1553145_at							1		1	1	0	1
1553146_at							1		1	1	0	1
1553147_at							1		1	0	1	1
1553148_a_at							1		1	0	1	1
1553150_at							1		1	0	1	1
1553151_at							1		1	1	0	1
1553153_at							1		1	1	0	1
1553155_x_at							1		1	1	0	1
1553156_at							1		1	0	1	1
1553157_at							1		1	1	0	1
1553158_at							1		1	1	0	1
1553159_at							1		1	0	1	1
1553162_x_at							1		1	0	1	1
1553163_at							1		1	1	0	1
1553165_at							1		1	1	0	1
1553166_at							1		1	0	1	1
1553167_a_at							1		1	1	0	1
1553168_at							1		1	1	0	1
1553169_at							1		1	0	1	1
1553171_x_at							1		1	0	1	1
1553172_at							1		1	0	1	1
1553174_at							1		1	0	1	1
1553175_s_at							1		1	0	1	1
1553176_at							1		1	0	1	1
1553177_at							1		1	1	0	1
1553178_a_at							1		1	0	1	1
1553179_at							1		1	0	1	1
1553180_at							1		1	0	1	1
1553181_at							1		1	0	1	1
1553183_at							1		1	1	0	1
1553185_at							1		1	1	0	1
1553186_x_at							1		1	1	0	1
1553188_s_at							1		1	0	1	1
1553190_s_at							1		1	1	0	1
1553191_at							1		1	1	0	1
1553192_at							1		1	0	1	1
1553193_at							1		1	0	1	1
1553194_at							1		1	0	1	1
1553196_a_at							1		1	1	0	1
1553197_at							1		1	1	0	1
1553199_at							1		1	1	0	1
1553202_at							1		1	1	0	1
1553204_at							1		1	0	1	1
1553205_at							1		1	1	0	1
1553207_at							1		1	0	1	1
1553208_s_at							1		1	1	0	1
1553209_at							1		1	1	0	1
1553211_at							1		1	0	1	1
1553212_at							1		1	0	1	1
1553213_a_at							1		1	0	1	1
1553214_a_at							1		1	0	1	1
1553215_s_at							1		1	1	0	1
1553216_at							1		1	0	1	1
1553217_s_at							1		1	0	1	1
1553218_a_at							1		1	0	1	1
1553219_a_at							1		1	0	1	1
1553220_at							1		1	0	1	1
1553221_at							1		1	0	1	1
1553222_at							1		1	0	1	1
1553224_at							1		1	0	1	1
1553225_s_at							1		1	1	0	1
1553226_at							1		1	1	0	1
1553227_s_at							1		1	1	0	1
1553228_at							1		1	0	1	1
1553229_at							1		1	0	1	1
1553232_at							1		1	0	1	1
1553234_at							1		1	0	1	1
1553235_at							1		1	0	1	1
1553237_x_at							1		1	1	0	1
1553238_a_at							1		1	1	0	1
1553239_at							1		1	0	1	1
1553241_at							1		1	1	0	1
1553243_at							1		1	0	1	1
1553244_at							1		1	1	0	1
1553246_a_at							1		1	0	1	1
1553247_a_at							1		1	1	0	1
1553248_at							1		1	1	0	1
1553249_at							1		1	0	1	1
1553252_a_at							1		1	0	1	1
1553253_at							1		1	0	1	1
1553254_at							1		1	1	0	1
1553255_at							1		1	0	1	1
1553257_at							1		1	0	1	1
1553258_at							1		1	0	1	1
1553260_s_at							1		1	1	0	1
1553261_x_at							1		1	1	0	1
1553262_a_at							1		1	0	1	1
1553263_at							1		1	0	1	1
1553264_a_at							1		1	0	1	1
1553265_at							1		1	0	1	1
1553266_at							1		1	0	1	1
1553267_a_at							1		1	1	0	1
1553268_at							1		1	0	1	1
1553269_at							1		1	1	0	1
1553271_at							1		1	0	1	1
1553272_at							1		1	0	1	1
1553274_a_at							1		1	1	0	1
1553275_s_at							1		1	0	1	1
1553276_at							1		1	0	1	1
1553277_at							1		1	0	1	1
1553279_at							1		1	1	0	1
1553280_at							1		1	0	1	1
1553281_at							1		1	0	1	1
1553282_at							1		1	0	1	1
1553284_s_at							1		1	1	0	1
1553285_s_at							1		1	1	0	1
1553286_at							1		1	1	0	1
1553288_a_at							1		1	1	0	1
1553292_s_at							1		1	0	1	1
1553293_at							1		1	0	1	1
1553295_at							1		1	1	0	1
1553296_at							1		1	0	1	1
1553297_a_at							1		1	1	0	1
1553298_at							1		1	1	0	1
1553299_at							1		1	0	1	1
